Data,dolar
26/01/2012,1.7389
27/01/2012,1.7436
30/01/2012,1.7509
31/01/2012,1.7391
01/02/2012,1.7376
02/02/2012,1.7326
03/02/2012,1.7223
06/02/2012,1.7249
07/02/2012,1.7261
08/02/2012,1.7195
09/02/2012,1.7225
10/02/2012,1.7260
13/02/2012,1.7169
14/02/2012,1.7173
15/02/2012,1.7158
16/02/2012,1.7326
17/02/2012,1.7136
22/02/2012,1.7076
23/02/2012,1.7040
24/02/2012,1.7098
27/02/2012,1.7088
28/02/2012,1.7024
29/02/2012,1.7092
01/03/2012,1.7152
02/03/2012,1.7245
05/03/2012,1.7314
06/03/2012,1.7556
07/03/2012,1.7692
08/03/2012,1.7697
09/03/2012,1.7767
12/03/2012,1.8157
13/03/2012,1.8102
14/03/2012,1.8146
15/03/2012,1.8006
16/03/2012,1.8018
19/03/2012,1.8090
20/03/2012,1.8259
21/03/2012,1.8267
22/03/2012,1.8250
23/03/2012,1.8194
26/03/2012,1.8143
27/03/2012,1.8135
28/03/2012,1.8223
29/03/2012,1.8334
30/03/2012,1.8221
02/04/2012,1.8314
03/04/2012,1.8256
04/04/2012,1.8316
05/04/2012,1.8301
09/04/2012,1.8260
10/04/2012,1.8317
11/04/2012,1.8303
12/04/2012,1.8270
13/04/2012,1.8364
16/04/2012,1.8373
17/04/2012,1.8454
18/04/2012,1.8694
19/04/2012,1.8867
20/04/2012,1.8786
23/04/2012,1.8864
24/04/2012,1.8780
25/04/2012,1.8807
26/04/2012,1.8871
27/04/2012,1.8852
30/04/2012,1.8918
02/05/2012,1.9149
03/05/2012,1.9277
04/05/2012,1.9210
07/05/2012,1.9268
08/05/2012,1.9366
09/05/2012,1.9577
10/05/2012,1.9581
11/05/2012,1.9513
14/05/2012,1.9866
15/05/2012,1.9947
16/05/2012,1.9974
17/05/2012,1.9973
18/05/2012,2.0095
21/05/2012,2.0374
22/05/2012,2.0493
23/05/2012,2.0816
24/05/2012,2.0384
25/05/2012,2.0032
28/05/2012,1.9778
29/05/2012,1.9944
30/05/2012,2.0078
31/05/2012,2.0223
01/06/2012,2.0350
04/06/2012,2.0410
05/06/2012,2.0266
06/06/2012,2.0183
08/06/2012,2.0353
11/06/2012,2.0348
12/06/2012,2.0564
13/06/2012,2.0604
14/06/2012,2.0691
15/06/2012,2.0443
18/06/2012,2.0634
19/06/2012,2.0440
20/06/2012,2.0293
21/06/2012,2.0363
22/06/2012,2.0555
25/06/2012,2.0718
26/06/2012,2.0743
27/06/2012,2.0764
28/06/2012,2.0904
29/06/2012,2.0213
02/07/2012,1.9893
03/07/2012,1.9888
04/07/2012,2.0201
05/07/2012,2.0292
06/07/2012,2.0359
09/07/2012,2.0312
10/07/2012,2.0332
11/07/2012,2.0310
12/07/2012,2.0471
13/07/2012,2.0338
16/07/2012,2.0380
17/07/2012,2.0349
18/07/2012,2.0258
19/07/2012,2.0239
20/07/2012,2.0227
23/07/2012,2.0412
24/07/2012,2.0418
25/07/2012,2.0403
26/07/2012,2.0255
27/07/2012,2.0173
30/07/2012,2.0313
31/07/2012,2.0499
01/08/2012,2.0432
02/08/2012,2.0475
03/08/2012,2.0313
06/08/2012,2.0279
07/08/2012,2.0281
08/08/2012,2.0273
09/08/2012,2.0182
10/08/2012,2.0175
13/08/2012,2.0266
14/08/2012,2.0258
15/08/2012,2.0234
16/08/2012,2.0214
17/08/2012,2.0182
20/08/2012,2.0209
21/08/2012,2.0173
22/08/2012,2.0210
23/08/2012,2.0241
24/08/2012,2.0255
27/08/2012,2.0293
28/08/2012,2.0433
29/08/2012,2.0509
30/08/2012,2.0513
31/08/2012,2.0372
03/09/2012,2.0335
04/09/2012,2.0392
05/09/2012,2.0385
06/09/2012,2.0381
10/09/2012,2.0241
11/09/2012,2.0197
12/09/2012,2.0204
13/09/2012,2.0254
14/09/2012,2.0139
17/09/2012,2.0312
18/09/2012,2.0274
19/09/2012,2.0236
20/09/2012,2.0263
21/09/2012,2.0240
24/09/2012,2.0273
25/09/2012,2.0251
26/09/2012,2.0341
27/09/2012,2.0311
28/09/2012,2.0306
01/10/2012,2.0260
02/10/2012,2.0266
03/10/2012,2.0266
04/10/2012,2.0224
05/10/2012,2.0246
08/10/2012,2.0313
09/10/2012,2.0337
10/10/2012,2.0378
11/10/2012,2.0369
15/10/2012,2.0382
16/10/2012,2.0351
17/10/2012,2.0336
18/10/2012,2.0295
19/10/2012,2.0272
22/10/2012,2.0266
23/10/2012,2.0286
24/10/2012,2.0263
25/10/2012,2.0261
26/10/2012,2.0263
29/10/2012,2.0296
30/10/2012,2.0323
31/10/2012,2.0313
01/11/2012,2.0312
05/11/2012,2.0350
06/11/2012,2.0341
07/11/2012,2.0330
08/11/2012,2.0357
09/11/2012,2.0512
12/11/2012,2.0476
13/11/2012,2.0614
14/11/2012,2.0629
16/11/2012,2.0712
19/11/2012,2.0745
20/11/2012,2.0835
21/11/2012,2.0924
22/11/2012,2.0912
23/11/2012,2.0985
26/11/2012,2.0787
27/11/2012,2.0752
28/11/2012,2.0912
29/11/2012,2.0991
30/11/2012,2.1074
03/12/2012,2.1121
04/12/2012,2.1077
05/12/2012,2.1046
06/12/2012,2.0836
07/12/2012,2.0804
10/12/2012,2.0810
11/12/2012,2.0743
12/12/2012,2.0801
13/12/2012,2.0751
14/12/2012,2.0840
17/12/2012,2.0902
18/12/2012,2.0966
19/12/2012,2.0791
20/12/2012,2.0625
21/12/2012,2.0758
24/12/2012,2.0774
26/12/2012,2.0569
27/12/2012,2.0483
28/12/2012,2.0435
31/12/2012,2.0435
02/01/2013,2.0415
03/01/2013,2.0464
04/01/2013,2.0425
07/01/2013,2.0312
08/01/2013,2.0286
09/01/2013,2.0417
10/01/2013,2.0358
11/01/2013,2.0341
14/01/2013,2.0334
15/01/2013,2.0374
16/01/2013,2.0409
17/01/2013,2.0411
18/01/2013,2.0441
21/01/2013,2.0420
22/01/2013,2.0471
23/01/2013,2.0394
24/01/2013,2.0344
25/01/2013,2.0285
28/01/2013,2.0241
29/01/2013,1.9912
30/01/2013,1.9900
31/01/2013,1.9883
01/02/2013,1.9843
04/02/2013,1.9893
05/02/2013,1.9881
06/02/2013,1.9884
07/02/2013,1.9789
08/02/2013,1.9636
13/02/2013,1.9670
14/02/2013,1.9666
15/02/2013,1.9600
18/02/2013,1.9676
19/02/2013,1.9597
20/02/2013,1.9570
21/02/2013,1.9720
22/02/2013,1.9705
25/02/2013,1.9676
26/02/2013,1.9818
27/02/2013,1.9807
28/02/2013,1.9754
01/03/2013,1.9848
04/03/2013,1.9827
05/03/2013,1.9693
06/03/2013,1.9673
07/03/2013,1.9642
08/03/2013,1.9528
11/03/2013,1.9552
12/03/2013,1.9585
13/03/2013,1.9619
14/03/2013,1.9676
15/03/2013,1.9749
18/03/2013,1.9871
19/03/2013,1.9830
20/03/2013,1.9868
21/03/2013,1.9931
22/03/2013,2.0126
25/03/2013,2.0140
26/03/2013,2.0087
27/03/2013,2.0185
28/03/2013,2.0138
01/04/2013,2.0186
02/04/2013,2.0179
03/04/2013,2.0239
04/04/2013,2.0201
05/04/2013,2.0035
08/04/2013,1.9902
09/04/2013,1.9861
10/04/2013,1.9810
11/04/2013,1.9736
12/04/2013,1.9761
15/04/2013,1.9790
16/04/2013,1.9903
17/04/2013,1.9939
18/04/2013,2.0152
19/04/2013,2.0089
22/04/2013,2.0154
23/04/2013,2.0170
24/04/2013,2.0244
25/04/2013,2.0119
26/04/2013,2.0001
29/04/2013,1.9999
30/04/2013,2.0017
02/05/2013,2.0095
03/05/2013,2.0093
06/05/2013,2.0143
07/05/2013,2.0110
08/05/2013,2.0030
09/05/2013,2.0051
10/05/2013,2.0231
13/05/2013,2.0150
14/05/2013,2.0063
15/05/2013,2.0233
16/05/2013,2.0254
17/05/2013,2.0354
20/05/2013,2.0333
21/05/2013,2.0402
22/05/2013,2.0387
23/05/2013,2.0537
24/05/2013,2.0495
27/05/2013,2.0527
28/05/2013,2.0616
29/05/2013,2.0894
31/05/2013,2.1319
03/06/2013,2.1355
04/06/2013,2.1282
05/06/2013,2.1235
06/06/2013,2.1250
07/06/2013,2.1372
10/06/2013,2.1506
11/06/2013,2.1521
12/06/2013,2.1420
13/06/2013,2.1447
14/06/2013,2.1367
17/06/2013,2.1538
18/06/2013,2.1706
19/06/2013,2.1744
20/06/2013,2.2523
21/06/2013,2.2648
24/06/2013,2.2515
25/06/2013,2.2185
26/06/2013,2.1975
27/06/2013,2.1846
28/06/2013,2.2156
01/07/2013,2.2297
02/07/2013,2.2412
03/07/2013,2.2634
04/07/2013,2.2595
05/07/2013,2.2645
08/07/2013,2.2583
09/07/2013,2.2628
10/07/2013,2.2697
11/07/2013,2.2672
12/07/2013,2.2670
15/07/2013,2.2548
16/07/2013,2.2353
17/07/2013,2.2372
18/07/2013,2.2297
19/07/2013,2.2364
22/07/2013,2.2386
23/07/2013,2.2267
24/07/2013,2.2348
25/07/2013,2.2497
26/07/2013,2.2488
29/07/2013,2.2609
30/07/2013,2.2734
31/07/2013,2.2903
01/08/2013,2.2914
02/08/2013,2.2933
05/08/2013,2.3010
06/08/2013,2.2955
07/08/2013,2.3028
08/08/2013,2.2882
09/08/2013,2.2748
12/08/2013,2.2722
13/08/2013,2.3035
14/08/2013,2.3118
15/08/2013,2.3434
16/08/2013,2.3565
19/08/2013,2.3980
20/08/2013,2.3943
21/08/2013,2.4169
22/08/2013,2.4457
23/08/2013,2.3868
26/08/2013,2.3705
27/08/2013,2.3998
28/08/2013,2.3515
29/08/2013,2.3578
30/08/2013,2.3725
02/09/2013,2.3643
03/09/2013,2.3897
04/09/2013,2.3538
05/09/2013,2.3314
06/09/2013,2.2979
09/09/2013,2.2868
10/09/2013,2.2779
11/09/2013,2.2947
12/09/2013,2.2769
13/09/2013,2.2785
16/09/2013,2.2649
17/09/2013,2.2617
18/09/2013,2.2489
19/09/2013,2.2036
20/09/2013,2.2053
23/09/2013,2.2033
24/09/2013,2.2031
25/09/2013,2.2224
26/09/2013,2.2285
27/09/2013,2.2571
30/09/2013,2.2300
01/10/2013,2.2123
02/10/2013,2.2088
03/10/2013,2.2069
04/10/2013,2.2051
07/10/2013,2.2087
08/10/2013,2.2016
09/10/2013,2.2054
10/10/2013,2.1850
11/10/2013,2.1821
14/10/2013,2.1817
15/10/2013,2.1818
16/10/2013,2.1629
17/10/2013,2.1611
18/10/2013,2.1616
21/10/2013,2.1738
22/10/2013,2.1760
23/10/2013,2.1826
24/10/2013,2.2003
25/10/2013,2.1848
28/10/2013,2.1846
29/10/2013,2.1804
30/10/2013,2.1888
31/10/2013,2.2026
01/11/2013,2.2468
04/11/2013,2.2426
05/11/2013,2.2747
06/11/2013,2.2785
07/11/2013,2.2825
08/11/2013,2.3170
11/11/2013,2.3142
12/11/2013,2.3362
13/11/2013,2.3234
14/11/2013,2.3289
18/11/2013,2.2828
19/11/2013,2.2662
20/11/2013,2.2726
21/11/2013,2.3067
22/11/2013,2.2913
25/11/2013,2.2871
26/11/2013,2.3040
27/11/2013,2.3058
28/11/2013,2.3208
29/11/2013,2.3249
02/12/2013,2.3449
03/12/2013,2.3558
